Title,Year,Rating,Duration,Size,Resolution,V_Coec,Bit_depth,A_Codec,Channels,Sub_Format,Hash,Audio #,Sub #
Idiocracy,2006,★★★½,1h 24min,2.36,HD1080,x265,Bit10,EAC3,5.1,SRT,2347316955,1,1
Saving Private Ryan,1998,★★★★,2h 49min,9.75,HD1080,x265,Bit10,AAC,7.1,PGS,1204814626,1,2
The King's Man,2021,★★½,2h 10min,6.10,HD1080,x265,Bit10,AAC,7.1,VOB,921483620,1,3
The Hateful Eight,2015,★★★★★,2h 40min,38.06,UHD4K,x264,Bit8,DTS,5.1,SRT,3051227783,1,2
The Banshees of Inisherin,2022,★★★★,1h 53min,5.69,HD1080,x265,Bit10,DTS,5.1,PGS,3015538627,1,5
Pirates of the Caribbean - Dead Men Tell No Tales,2017,★★★★,2h 09min,5.13,HD1080,x265,Bit10,AAC,7.1,VOB,3211649588,1,4
Hiroshima Mon Amour,1959,★★★½,1h 30min,3.23,HD1080,x265,Bit10,AAC,1.0,VOB,2141248604,2,1
Memento,2000,★★★★½,1h 53min,5.35,HD1080,x265,Bit10,AC3,5.1,PGS,251060625,1,4
Stalker,1979,,2h 41min,8.10,HD1080,x265,Bit10,AAC,1.0,ASS,615686196,1,1
Batman Begins,2005,★★★★,2h 20min,5.40,HD1080,x265,Bit10,AAC,5.1,SRT,627468822,2,1
Knives Out,2019,★★★½,2h 10min,11.35,UHD4K,x265,Bit10,AC3,5.1,PGS,562035595,1,4
Ran,1985,★★★★½,2h 42min,36.91,HD1080,x264,Bit8,DTS,4.0,SRT,698112089,1,1
Eyes Wide Shut,1999,★★★★,2h 39min,8.86,HD1080,x265,Bit10,AAC,5.1,VOB,2961668406,1,14
Spirited Away,2001,★★★★,2h 04min,6.09,HD1080,x265,Bit10,EAC3,7.1,VOB,3947867503,2,7
The Big Lebowski,1998,★★★★½,1h 57min,3.99,HD1080,x265,Bit10,AAC,5.1,VOB,426810312,2,22
Zodiac,2007,★★★★½,2h 42min,8.31,HD1080,x265,Bit10,DTS,5.1,SRT,2363166241,1,2
Barry Lyndon,1975,,3h 05min,7.18,HD1080,x265,Bit10,AAC,5.1,VOB,3929866146,1,1
The French Dispatch,2021,★★★★,1h 47min,4.78,HD1080,x265,Bit10,AAC,5.1,VOB,2338229924,1,2
To Kill a Mockingbird,1962,★★★★½,2h 09min,5.38,HD1080,x265,Bit10,AAC,5.1,VOB,3546287802,3,3
Three Billboards Outside Ebbing Missouri,2017,★★★★,1h 55min,14.16,UHD4K,x265,Bit10,DTS,5.1,SRT,3195444481,1,1
Shutter Island,2010,★★★★,2h 18min,12.82,UHD4K,x265,Bit10,AAC,5.1,VOB,2417038721,1,24
Silence,2016,★★★½,2h 41min,3.48,HD1080,x265,Bit10,AAC,5.1,VOB,1258513454,1,3
Locke,2013,★★★½,1h 24min,2.97,HD1080,x265,Bit10,AAC,5.1,PGS,2397483054,2,2
Kung Fu Panda 2,2011,★★★½,1h 30min,3.01,HD1080,x265,Bit10,EAC3,5.1,PGS,297907779,1,7
Seven Psychopaths,2012,★★★★½,1h 50min,4.59,HD1080,x265,Bit10,AAC,5.1,PGS,3229403429,1,4
